Aberforth, 
Alastor, Moody, Mad-Eye,
Albus, Dumbledore,
Alecto, Carrow,
Alice, Alice Longbottom,
Alicia, Spinnet,
Amelia, Bones,
Amos, Diggory,
Amycus, Carrow,
Andromeda, Tonks,
Angelina, Johnson,
Anthony, Goldstein,
Antioch, Peverell,
Antonin, Dolohov,
Arabella, Figg,
Argus, Filch,
Ariana, Ariana Dumbledore,
Arthur, Arthur Weasley,
Augusta, Augusta Longbottom,
Augustus, Rookwood,
Aurora, Sinistra,
Bane,
Bartemius, Crouch Jr,
Bartemius, Crouch Sr, Barty
Bathilda, Bagshot,
Bathsheba, Babbling,
Bellatrix, Lestrange,
Bertha, Jorkins,
Blaise, Zabini,
Cadmus, Peverell,
Cedric, Diggory,
Charity, Burbage,
Charlie, 
Cho, Chang,
Colin, Creevey,
Cormac, McLaggen,
Cornelius, Fudge,
Cuthbert, Binns,
Dean, Thomas,
Dedalus, Diggle,
Dennis, Creevey,
Dilys, Derwent,
Dirk, Cresswell,
Dobby,
Dolores, Umbridge,
Draco, Malfoy,
Dudley, 
Elphias, Doge,
Emmeline, Vance,
Ernie, Macmillan,
Everard,
Fenrir, Greyback,
Filius, Flitwick,
Firenze,
Fleur, Delacour,
Frank, Bryce,
Frank, Longbottom,
Fred, 
Fridwulfa,
Gabrielle, Delacour,
Garrick, Ollivander,
Gellert, Grindelwald,
George, 
Gilderoy, Lockhart,
Ginny, 
Gregorovitch,
Gregory, Goyle,
Griphook,
Hannah, Abbott,
Harry, Potter,
James,
Hedwig,
Helena, Ravenclaw,
Helga, Hufflepuff,
Hepzibah, Smith,
Hermione, Granger,
Horace, Slughorn,
Ignotus, Peverell,
Igor, Karkaroff,
Irma, Pince,
James, 
James, Sirius Potter,
Justin, Finch-Fletchley,
Katie, Bell,
Kingsley, Shacklebolt,
Kreacher,
Lavender, Brown,
Lee, Jordan,
Lily, 
Lucius, 
Ludo, Bagman,
Luna, Lovegood,
Mafalda, Hopkirk,
Magorian,
Madam, Malkin,
Marcus, Flint,
Marietta, Edgecombe,
Marjorie, Marge
Marvolo, Gaunt,
Mary, Cattermole,
Mary, Riddle,
Merope, Gaunt,
Michael, Corner,
Millicent, Bulstrode,
Minerva, McGonagall,
Molly, 
Morfin, Gaunt,
Mundungus, Fletcher,
Muriel,
Moaning Myrtle,
Nagini,
Narcissa,Cissy
Neville, Longbottom,
Newt, Scamander,
Nearly Headless Nick,
Nicolas, Flamel,
Mrs. Norris,
Nymphadora, Tonks,
Oliver, Wood,
Olympe, Maxime,
Padma, Patil,
Pansy, Parkinson,
Parvati, Patil,
Peeves,
Penelope, Clearwater,
Percy, 
Peter, Pettigrew, Scabbers, Wormtail
Petunia, 
Phineas, Nigellus Black,
Pigwidgeon,
Pius, Thicknesse,
Pomona, Sprout,
Poppy, Pomfrey,
Quirinus, Quirrell,
Rabastan, Lestrange,
Reginald, Cattermole,
Regulus, Arcturus Black,
Remus, Lupin,Moony
Rita, Skeeter,
Rodolphus, Lestrange,
Rolanda, Hooch,
Romilda, Vane,
Ronald, Weasley,Ron
Ronan,
Madam, Rosmerta,
Rowena, Ravenclaw,
Rubeus, Hagrid,
Rufus, Scrimgeour,
Salazar, Slytherin,
Seamus, Finnigan,
Septima, Vector,
Severus, Snape,
Sirius, Black,
Stan, Shunpike,
Sturgis, Podmore,
Susan, Bones,
Sybill, Patricia Trelawney,
Ted, Tonks,
Teddy, Lupin,
Terry, Boot,
Theodore, Nott,
Trevor,
Vernon, Dursley,
Viktor, Krum,
Vincent, Crabbe,
Lord, Voldemort, Marvolo, Tom, Riddle, He-who-must-not-be-named,
Walden, Macnair,
Wilhelmina, Grubbly-Plank,
William, Arthur, Bill,
Winky,
Xenophilius, Lovegood,
Yaxley,
Zacharias, Smith,
